,Name,population
0,Andorra,84000
1,United Arab Emirates,4975593
2,Afghanistan,29121286
3,Antigua and Barbuda,86754
4,Anguilla,13254
5,Albania,2986952
6,Armenia,2968000
7,Angola,13068161
8,Antarctica,0
9,Argentina,41343201
10,American Samoa,57881
11,Austria,8205000
12,Australia,21515754
13,Aruba,71566
14,Ã…land,26711
15,Azerbaijan,8303512
16,Bosnia and Herzegovina,4590000
17,Barbados,285653
18,Bangladesh,156118464
19,Belgium,10403000
20,Burkina Faso,16241811
21,Bulgaria,7148785
22,Bahrain,738004
23,Burundi,9863117
24,Benin,9056010
25,Saint BarthÃ©lemy,8450
26,Bermuda,65365
27,Brunei,395027
28,Bolivia,9947418
29,Bonaire,18012
30,Brazil,201103330
31,Bahamas,301790
32,Bhutan,699847
33,Bouvet Island,0
34,Botswana,2029307
35,Belarus,9685000
36,Belize,314522
37,Canada,33679000
38,Cocos [Keeling] Islands,628
39,Democratic Republic of the Congo,70916439
40,Central African Republic,4844927
41,Republic of the Congo,3039126
42,Switzerland,7581000
43,Ivory Coast,21058798
44,Cook Islands,21388
45,Chile,16746491
46,Cameroon,19294149
47,China,1330044000
48,Colombia,47790000
49,Costa Rica,4516220
50,Cuba,11423000
51,Cape Verde,508659
52,Curacao,141766
53,Christmas Island,1500
54,Cyprus,1102677
55,Czech Republic,10476000
56,Germany,81802257
57,Djibouti,740528
58,Denmark,5484000
59,Dominica,72813
60,Dominican Republic,9823821
61,Algeria,34586184
62,Ecuador,14790608
63,Estonia,1291170
64,Egypt,80471869
65,Western Sahara,273008
66,Eritrea,5792984
67,Spain,46505963
68,Ethiopia,88013491
69,Finland,5244000
70,Fiji,875983
71,Falkland Islands,2638
72,Micronesia,107708
73,Faroe Islands,48228
74,France,64768389
75,Gabon,1545255
76,United Kingdom,62348447
77,Grenada,107818
78,Georgia,4630000
79,French Guiana,195506
80,Guernsey,65228
81,Ghana,24339838
82,Gibraltar,27884
83,Greenland,56375
84,Gambia,1593256
85,Guinea,10324025
86,Guadeloupe,443000
87,Equatorial Guinea,1014999
88,Greece,11000000
89,South Georgia and the South Sandwich Islands,30
90,Guatemala,13550440
91,Guam,159358
92,Guinea-Bissau,1565126
93,Guyana,748486
94,Hong Kong,6898686
95,Heard Island and McDonald Islands,0
96,Honduras,7989415
97,Croatia,4491000
98,Haiti,9648924
99,Hungary,9982000
100,Indonesia,242968342
101,Ireland,4622917
102,Israel,7353985
103,Isle of Man,75049
104,India,1173108018
105,British Indian Ocean Territory,4000
106,Iraq,29671605
107,Iran,76923300
